title,author,book_id,source,cover_url,asset_file,decision,confidence,reason
Betty Zane,Zane Grey,betty-zane,standard-ebooks,/covers/betty-zane.jpg,public/covers/covers/betty-zane.jpg,remove,1,public-domain Standard Ebooks cover
Beyond Good and Evil: Prelude to a Philosophy of the Future,Friedrich Nietzsche,beyond-good-and-evil,standard-ebooks,/covers/beyond-good-and-evil.jpg,public/covers/covers/beyond-good-and-evil.jpg,remove,1,public-domain Standard Ebooks cover
Beyond Thirty,Edgar Rice Burroughs,beyond-thirty,standard-ebooks,/covers/beyond-thirty.jpg,public/covers/covers/beyond-thirty.jpg,remove,1,public-domain Standard Ebooks cover
Black Beauty: The Autobiography of a Horse,Anna Sewell,black-beauty,standard-ebooks,/covers/black-beauty.jpg,public/covers/covers/black-beauty.jpg,remove,1,public-domain Standard Ebooks cover
Bleak House,Charles Dickens,bleak-house,standard-ebooks,/covers/bleak-house.jpg,public/covers/covers/bleak-house.jpg,remove,1,public-domain Standard Ebooks cover
Buddenbrooks,Thomas Mann,buddenbrooks,standard-ebooks,/covers/buddenbrooks.jpg,public/covers/covers/buddenbrooks.jpg,remove,1,public-domain Standard Ebooks cover
Can You Forgive Her?,Anthony Trollope,can-you-forgive-her,standard-ebooks,/covers/can-you-forgive-her.jpg,public/covers/covers/can-you-forgive-her.jpg,remove,1,public-domain Standard Ebooks cover
Candida,George Bernard Shaw,candida,standard-ebooks,/covers/candida.jpg,public/covers/covers/candida.jpg,remove,1,public-domain Standard Ebooks cover
Candide,Voltaire,candide,standard-ebooks,/covers/candide.jpg,public/covers/covers/candide.jpg,remove,1,public-domain Standard Ebooks cover
Cane,Jean Toomer,cane,standard-ebooks,/covers/cane.jpg,public/covers/covers/cane.jpg,remove,1,public-domain Standard Ebooks cover
Captain Blood,Rafael Sabatini,captain-blood,standard-ebooks,/covers/captain-blood.jpg,public/covers/covers/captain-blood.jpg,remove,1,public-domain Standard Ebooks cover
"Castle Rackrent: An Hibernian Tale. Taken from Facts, and from the Manners of the Irish Squires Before the Year 1782",Maria Edgeworth,castle-rackrent,standard-ebooks,/covers/castle-rackrent.jpg,public/covers/covers/castle-rackrent.jpg,remove,1,public-domain Standard Ebooks cover
Catriona: Being Memoirs of the Further Adventures of David Balfour at Home and Abroad,Robert Louis Stevenson,catriona,standard-ebooks,/covers/catriona.jpg,public/covers/covers/catriona.jpg,remove,1,public-domain Standard Ebooks cover
